"_id","_labels","born","name","_start","_end","_type"
"297",":Person","1980","Christina Ricci",,,
"298",":Person","1982","Rain",,,
"300",":Person","","Naomie Harris",,,
"302",":Person","1957","Michael Clarke Duncan",,,
"303",":Person","1953","David Morse",,,
"304",":Person","1968","Sam Rockwell",,,
"305",":Person","1955","Gary Sinise",,,
"306",":Person","1959","Patricia Clarkson",,,
"307",":Person","1959","Frank Darabont",,,
"309",":Person","1938","Frank Langella",,,
"310",":Person","1969","Michael Sheen",,,
"311",":Person","1960","Oliver Platt",,,
"313",":Person","1944","Danny DeVito",,,
"314",":Person","1965","John C. Reilly",,,
"316",":Person","1950","Ed Harris",,,
"317",":Person","1955","Bill Paxton",,,
"319",":Person","1967","Philip Seymour Hoffman",,,
"320",":Person","1943","Jan de Bont",,,
"322",":Person","1951","Robert Zemeckis",,,
"324",":Person","1932","Milos Forman",,,
"326",":Person","1946","Diane Keaton",,,
"327",":Person","1949","Nancy Meyers",,,
"329",":Person","1958","Chris Columbus",,,
"331",":Person","1967","Julia Roberts",,,
"334",":Person","1954","Madonna",,,
"335",":Person","1956","Geena Davis",,,
"336",":Person","1963","Lori Petty",,,
"337",":Person","1943","Penny Marshall",,,
"338",":Person","","Paul Blythe",,,
"339",":Person","","Angela Scope",,,
"340",":Person","","Jessica Thompson",,,
"341",":Person","","James Thompson",,,
